#{"t_start": 1674319025.7187526, "env_id": null}
r,l,t
-38.62,7,3.947592
-36.422909,16,3.952596
-38.633789,5,3.953597
-39.918669,2,3.954598
-38.367786,11,3.957601
-39.414558,5,3.959602
-38.491806,7,3.961604
-39.8,1,3.962605
-37.828763,7,3.964607
-39.915467,2,3.965608
-35.132565,19,3.970612
-39.988215,6,3.972614
-39.418873,3,3.973615
-39.448662,2,3.974616
-38.498759,14,3.981622
-39.610519,2,3.982623
-38.862388,4,3.983624
-38.11242,7,3.985626
-34.111365,16,3.990631
-38.358373,14,3.995635
-36.998613,9,3.997637
-38.632412,14,4.002641
-38.522429,10,4.005644
-37.458164,9,4.633215
-38.660158,5,4.635216
-40.281373,9,4.638219
-38.977826,8,4.641222
-39.4,3,4.642223
-36.99599,13,4.646227
-39.103008,4,4.648228
-38.832982,10,4.652232
-37.713171,12,4.656236
-38.691054,15,4.662241
-35.080658,15,4.668247
-39.037362,6,4.670248
-36.91312,24,4.679256
-37.952737,10,4.68326
-35.613764,26,4.690267
-37.021856,9,4.693269
-36.912718,13,4.697273
-39.465735,2,4.698274
-38.384927,15,4.703279
-38.706554,13,4.707282
-39.718246,7,4.709284
-39.140088,6,4.711286
-37.155385,11,4.715289
-37.119375,21,4.723297
-39.261373,2,4.724297
-40.159549,11,4.728301
-38.073657,24,4.736308
-38.800525,4,4.737309
-36.262467,9,4.740312
-37.211164,10,4.743315
-38.195097,14,4.747319
-33.4425,22,4.754325
-37.298641,15,4.758328
-39.885764,2,4.75933
-39.337472,9,4.762332
-35.063659,24,4.77034
-36.623999,9,4.773343
-38.034456,20,4.780349
-38.942028,10,4.783351
-37.952386,6,4.785353
-38.920205,7,4.787355
-39.419725,3,4.788356
-36.239841,10,4.791359
-38.157895,14,4.795362
-38.267959,15,4.800367
-39.79608,2,4.801368
-37.954768,12,4.806373
-39.590715,6,4.808374
-38.874265,9,4.812378
-39.8,1,4.812378
-31.912314,31,4.824389
-38.924328,10,4.827391
-38.184839,16,4.832396
-38.803292,4,4.833397
-39.525101,4,4.835399
-39.290795,2,4.835399
-37.658064,7,4.838402
-37.424226,9,4.840404
-39.657346,14,4.845408
-39.896484,10,4.848411
-39.086206,18,4.853415
-30.946246,55,4.870431
-39.4,3,4.871432
-38.212759,13,4.875436
-38.478737,5,4.877438
-33.661062,30,4.886446
-37.329309,14,4.890449
-38.0184,13,4.894453
-39.8,1,4.894453
-36.634676,9,4.897456
-39.8,1,4.898457
-35.616986,12,4.901459
-38.273696,5,4.903461
-34.996039,20,4.909467
-37.127928,10,4.912469
-39.369229,4,4.91347
-32.35846,47,4.927483
-39.161413,7,4.930486
-38.9531,4,4.983534
-31.918496,34,4.994544
-32.307,26,5.002552
-33.375052,23,5.009558
-38.497752,9,5.01256
